song,version,song_type
Clematis Rapsodia,XX,Arcade
Obelisque,XX,Arcade
Vacuum,FIESTA - FIESTA 2,Arcade
Harmagedon,XX,Arcade
Hardkore of the North,FIESTA - FIESTA 2,Arcade
Travel to future,PRIME - PRIME 2,Arcade
POINT ZERO 2,XX,Arcade
Uranium,XX,Arcade
Till the end of time,1st - Zero,Arcade
Annihilator Method,PRIME - PRIME 2,Arcade
Iolite Sky,XX,Arcade
Love Is A Danger Zone(Cranky Mix),FIESTA - FIESTA 2,Arcade
Life is PIANO,XX,Arcade
Rising Star,XX,Arcade
Allegro Con Fuoco,FIESTA - FIESTA 2,Arcade
Headless Chicken,XX,Arcade
Euphorianic - SHORT CUT -,PHOENIX,Short Cut
Houseplan,XX,Arcade
Smile Diary,PRIME - PRIME 2,Arcade
1949,XX,Arcade
Extravaganza,1st - Zero,Arcade
INFINITY,PRIME - PRIME 2,Arcade
I Want U,XX,Arcade
Desaparecer,XX,Remix
Kasou Shinja仮装信者,PRIME - PRIME 2,Arcade
Xeroize,XX,Arcade
Death Moon,PRIME - PRIME 2,Arcade
Sudden Romance [PIU Edit],PRIME - PRIME 2,Arcade
Pop Sequence,XX,Arcade
Queen Of The Red,PRIME - PRIME 2,Arcade
Ice of Death,XX,Arcade
Kimchi Fingers,XX,Arcade
Arcana Force,PRIME - PRIME 2,Arcade
Nemesis,PRIME - PRIME 2,Arcade
Adrenaline Blaster,XX,Arcade
Broken Karma (PIU EDIT),XX,Arcade
Slapstick Parfait,XX,Arcade
CARMEN BUS,XX,Arcade
HTTP,PRIME - PRIME 2,Arcade
Ragnarok,PRIME - PRIME 2,Arcade
V3,PRIME - PRIME 2,Arcade
Moment Day,PRIME - PRIME 2,Arcade
Bad Apple!! feat. Nomico - FULL SONG -,PRIME - PRIME 2,Full Song
BEDLAM,PRIME - PRIME 2,Arcade
District 1,XX,Arcade
Dual Racing <RED vs BLUE>,XX,Arcade
Reality,FIESTA - FIESTA 2,Arcade
The End of the World ft. Skizzo,XX,Arcade
CHICKEN WING,1st - Zero,Arcade
Allegro furioso,PRIME - PRIME 2,Arcade
Pumptris Quattro,NX - NXA,Arcade
Baroque Virus,FIESTA - FIESTA 2,Arcade
The Festival of Ghost2 (Sneak),PRIME - PRIME 2,Arcade
Xuxa,FIESTA - FIESTA 2,Arcade
Lepton Strike,XX,Arcade
Your Mind,XX,Arcade
MATADOR,PRIME - PRIME 2,Arcade
Poseidon,XX,Arcade
What Happened,FIESTA - FIESTA 2,Arcade
Pump Me Amadeus,1st - Zero,Arcade
Waltz of Doge,PRIME - PRIME 2,Arcade
JANUS,XX,Arcade
Reminiscence,PRIME - PRIME 2,Arcade
Wicked Legend,XX,Arcade
PRIME,PRIME - PRIME 2,Arcade
Love is a Danger Zone,1st - Zero,Arcade
Awakening,PRIME - PRIME 2,Arcade
God Mode feat. Skizzo,PRIME - PRIME 2,Arcade
Christmas Memories,PRIME - PRIME 2,Arcade
Necromancy,FIESTA - FIESTA 2,Arcade
Black Swan,XX,Arcade
Transacaglia in G-minor,XX,Arcade
Danger & Danger,XX,Arcade
Point Zero One,PRIME - PRIME 2,Arcade
Rolling Christmas,1st - Zero,Arcade
Rage of Fire,XX,Arcade
THE REVOLUTION,PRIME - PRIME 2,Arcade
Campanella,PRIME - PRIME 2,Arcade
Love is a Danger Zone pt. 2,1st - Zero,Arcade
Nihilism - Another Ver.-,XX,Arcade
Butterfly,FIESTA - FIESTA 2,Arcade
Prime Time,XX,Remix
Ugly Dee,NX - NXA,Arcade
Red Snow,PRIME - PRIME 2,Arcade
Bee,1st - Zero,Arcade
Feel My Happiness,PRIME - PRIME 2,Arcade
Moonlight,1st - Zero,Arcade
Gothique Resonance,PRIME - PRIME 2,Arcade
Can-can ~Orpheus in The Party Mix~ - SHORT CUT -,XX,Short Cut
Stardust Overdrive,PRIME - PRIME 2,Arcade
Cycling!,XX,Arcade
Destination,FIESTA - FIESTA 2,Arcade
Cutie Song,XX,Arcade
Imagination,XX,Arcade
Utsushiyo No Kaze feat. Kana,PRIME - PRIME 2,Arcade
Donatello,PRIME - PRIME 2,Arcade
La Cinquantaine,XX,Arcade
Fallen Angel,PRIME - PRIME 2,Arcade
Asterios -ReEntry-,PRIME - PRIME 2,Arcade
Turkey March -Minimal Tunes-,FIESTA - FIESTA 2,Arcade
Fires of Destiny,XX,Arcade
Phantom -Intermezzo-,FIESTA - FIESTA 2,Arcade
Pop The Track,FIESTA - FIESTA 2,Arcade
Paradoxx,PRIME - PRIME 2,Remix
Jonathan's Dream,FIESTA - FIESTA 2,Arcade
Clue,PRIME - PRIME 2,Arcade
Final Audition,1st - Zero,Arcade
Witch Doctor,1st - Zero,Arcade
Star Command,FIESTA - FIESTA 2,Arcade
Redline,PRIME - PRIME 2,Arcade
Orbit Stabilizer,XX,Arcade
HELIX,PRIME - PRIME 2,Arcade
Napalm,FIESTA - FIESTA 2,Arcade
U Got Me Rocking,FIESTA - FIESTA 2,Arcade
Dr. M,1st - Zero,Arcade
Faster Z,NX - NXA,Arcade
Dream To Nightmare,FIESTA - FIESTA 2,Arcade
Final Audition Ep. 2-2,NX - NXA,Arcade
Tritium,PRIME - PRIME 2,Arcade
ERRORCODE: 0,XX,Remix
Super Stylin',PRIME - PRIME 2,Arcade
Force of Ra,PRIME - PRIME 2,Arcade
Vook,1st - Zero,Arcade
Smells Like A Chocolate,FIESTA - FIESTA 2,Arcade
Tepris,FIESTA - FIESTA 2,Arcade
%X (Percent X),XX,Arcade
Radetzky Can Can,1st - Zero,Arcade
Mitotsudaira,PRIME - PRIME 2,Arcade
Hyperion,PRIME - PRIME 2,Arcade
God Mode 2.0 feat. Skizzo,XX,Arcade
Chinese restaurant,PRIME - PRIME 2,Arcade
Monolith,FIESTA - FIESTA 2,Arcade
Rave'til the earth's end,PRIME - PRIME 2,Arcade
Baroque Virus - FULL SONG -,XX,Full Song
Tribe Attacker,FIESTA - FIESTA 2,Arcade
Up & Up (Produced by AWAL),PRIME - PRIME 2,Arcade
ヨロピク ピクヨロ！Yoropiku Pikuyoro !,PRIME - PRIME 2,Arcade
Hypnosis(SynthWulf Mix),FIESTA - FIESTA 2,Arcade
Allegro Con Fuoco - FULL SONG -,XX,Full Song
Will-O-The-Wisp,1st - Zero,Arcade
Over The Horizon,XX,Arcade
Blazing,1st - Zero,Arcade
Cannon X.1,NX - NXA,Arcade
DJ Otada,NX - NXA,Arcade
Removable Disk0,PRIME - PRIME 2,Arcade
Papa Gonzales,1st - Zero,Arcade
FFF,FIESTA - FIESTA 2,Arcade
