composer,kr_composer,songs
Yakikaze & Cashew,Yakikaze & Cashew,"['Papasito (feat. KuTiNA)', 'Papasito (feat. KuTiNA) - FULL SONG -']"
YAHPP,이 얍,"['Sorceress Elise', 'Chimera', 'Pumptris Quattro', 'Faster Z', 'Final Audition Ep. 2-2', 'Cannon X.1', 'Final Audition Ep. 2-X', 'Final Audition Ep. 2-1', 'XTREE', 'Pumptris 8Bit ver.', 'WI-EX-DOC-VA', 'Love is a Danger Zone 2 - FULL SONG -', 'Blaze Emotion', 'BEMERA', 'Chopsticks Challenge', 'Bemera - SHORT CUT -', 'Solitary 1.5', 'Pumptris 8Bit ver. - SHORT CUT -', 'Final Audition Ep. 2-X - SHORT CUT -', 'Beat of The War 2 - FULL SONG -', 'NX Opening - SHORT CUT -', 'Chopsticks Challenge - FULL SONG -']"
Crash,크래쉬,"['Dignity', 'Dignity - FULL SONG -']"
The Musical Ghost,The Musical Ghost,['Lohxia']
Croire,Croire,['GLORIA']
SID-SOUND,시드사운드,"['Yeo rae a', 'Magical Vacation', 'Cosmical Rhythm', 'Dolly KiSS', 'Selfishness', 'Selfishness - SHORT CUT -']"
Dasu feat. Kagamine Len,Dasu feat. 카가미네 렌,['Nakakapagpabagabag']
D_AAN,D_AAN,"['F(R)IEND', 'ESCAPE', 'Achluoias', 'Wicked Legend']"
Lunatic Sounds,루나틱 사운즈,"['Dement ~After Legend~', 'INFINITY', 'Break Out', 'Bring Back The Beat']"
Sanxion7,Sanxion7,"['Gargoyle', 'Gargoyle - FULL SONG -']"
Memme,맴매,"['Tantanmen', 'BSPower Explosion', 'Avalanche', 'Hellfire', 'Uranium', 'Cutie Song', 'Tritium', 'Force of Ra', 'Chinese restaurant', 'Black Dragon', 'Fire Noodle Challenge', 'Vulcan']"
Brandy,브랜디,"['Cross Time', 'The Festival of Ghost2 (Sneak)']"
DM Ashura,DM Ashura,"['Elise', 'Annihilator Method', 'Allegro Con Fuoco', 'Fallen Angel', 'Orbit Stabilizer', 'Allegro Con Fuoco - FULL SONG -', 'X-Rave', 'Allegro Più Mosso', 'X-Rave - SHORT CUT -']"
A:llha (ANE + 2riA),A:llha (ANE + 2riA),['Kokugen Kairou Labyrinth']
STREME REVERIE,STREME REVERIE,['A Site De La Rue']
uma vs. Morimori Atsushi,uma vs. Morimori Atsushi,['Re：End of a Dream']
Cranky,Cranky,"['Phalanx RS2018 edit', 'MATADOR', 'Danger & Danger']"
Cashew,Cashew,"['Stardream (feat. Romelon)', 'Waltz of Doge', 'Campanella', 'Prime Time', 'Red Snow']"
Ginkiha,Ginkiha,['Paved Garden']
Applesoda,애플소다,"['VANISH', 'Tales of Pumpnia']"
Matduke,Matduke,"['Indestructible', 'Rock the house', 'Club Night', 'Rock the house - SHORT CUT -']"
雨漏りＰ/ AmamoriP,아마모리P,['Keep On!']
t+pazolite+Ginkiha+Hommarju,t+pazolite+Ginkiha+Hommarju,['Crossing Delta']
Sakuzyo,Sakuzyo,"['Imprinting', 'Altale', 'Destr0yer']"
Nato,나토,"['Nyarlathotep', 'HEART RABBIT COASTER', 'Shub Niggurath', 'Yog-Sothoth', 'Lepton Strike', 'God Mode feat. Skizzo', 'Nihilism - Another Ver.-', 'God Mode 2.0 feat. Skizzo', 'Silhouette Effect', 'Nyarlathotep - SHORT CUT -', 'Yog-Sothoth - SHORT CUT -', 'Shub Niggurath - SHORT CUT -', 'Silhouette Effect - SHORT CUT -', 'Ghroth', 'Cygnus', 'Start On RED']"
Sr. Lan Belmont,Sr. Lan Belmont,"['Can-can ~Orpheus in The Party Mix~', 'Can-can ~Orpheus in The Party Mix~ - SHORT CUT -', 'Le Nozze di Figaro ~Celebrazione Remix~']"
HyuN feat. Syepias,HyuN feat. Syepias,['CROSS SOUL']
uma,uma,['The Reverie']
KURORAK,KURORAK,['DESTRUCIMATE']
kanone,kanone,['CO5M1C R4ILR0AD']
Abel,Abel,['Repentance']
KIEN,KIEN,"['Le Grand Bleu', 'Le Grand Rouge']"
Lotze,로체,['Loki']
Mr. Weq,Mr. Weq,['Sugar Plum']
Novasonic,노바소닉,"['Another Truth', 'Slam']"
SynthWulf,SynthWulf,"['Passacaglia', 'Ragnarok', 'Point Zero One', 'Passacaglia - SHORT CUT -']"
BanYa & DM Ashura,반야 & DM Ashura,"['Ignis Fatuus(DM Ashura Mix)', 'Ignis Fatuus(DM Ashura Mix) - SHORT CUT -']"
Koharu feat. Renyata,Koharu feat. Renyata,['Telling Fortune Flower']
HIGHTEEN,하이틴,['Timing']
Jehezukiel,Jehezukiel,"['Twist of Fate (feat. Ruriling)', 'Clematis Rapsodia', 'Fires of Destiny']"
