song,version,song_type,kr_song,kr_song_proxy
Final Audition Ep. 2-1,NX - NXA,Arcade,파이널 오디션 에피소드 2-1,파이널 오디션 에피소드 2-1
Silver Beat feat. ChisaUezono,PRIME - PRIME 2,Arcade,실버 비트 feat. ChisaUezono,실버 비트 feat. ChisaUezono
Vacuum Cleaner,FIESTA - FIESTA 2,Remix,진공 청소기,진공 청소기
Break Out,PRIME - PRIME 2,Arcade,브레이크 아웃,브레이크 아웃
Death Moon - SHORT CUT -,PRIME - PRIME 2,Short Cut,사월 - SHORT CUT -,사월 - SHORT CUT -
Le Grand Rouge,XX,Arcade,라 그랑드 루즈,라 그랑드 루즈
Final Audition Ep. 1,1st - Zero,Arcade,파이널 오디션 에피소드 1,파이널 오디션 에피소드 1
Amphitryon,PRIME - PRIME 2,Arcade,암피트리온,암피트리온
Solitary,1st - Zero,Arcade,무혼,무혼
Leather,PRIME - PRIME 2,Remix,리더,리더
Silhouette Effect,PRIME - PRIME 2,Arcade,실루엣 이펙트,실루엣 이펙트
Poseidon - SHORT CUT -,XX,Short Cut,포세이돈 - SHORT CUT -,포세이돈 - SHORT CUT -
Katkoi,PRIME - PRIME 2,Arcade,캇코이,캇코이
HYPERCUBE,PRIME - PRIME 2,Arcade,하이퍼큐브,하이퍼큐브
Brown Sky,XX,Remix,하늘다람쥐,하늘다람쥐
Fire Noodle Challenge,XX,Remix,파이어 누들 챌린지,파이어 누들 챌린지
Macaron Day,XX,Arcade,마카롱 데이,마카롱 데이
We Got 2 Know,FIESTA - FIESTA 2,Arcade,위 갓 투 노우,위 갓 투 노우
Higgledy Piggledy,NX - NXA,Arcade,히글디 피글디,히글디 피글디
Meteo5cience (GADGET mix),XX,Remix,메테오 사이언스 (GADGET mix),메테오 사이언스 (GADGET mix)
Get Up,1st - Zero,Arcade,겟 업,겟 업
Monkey Fingers,1st - Zero,Arcade,몽키 핑거즈,몽키 핑거즈
Overblow,FIESTA - FIESTA 2,Arcade,오버블로우,오버블로우
VVV,FIESTA - FIESTA 2,Arcade,VVV,VVV
Dance with me,1st - Zero,Arcade,댄스 위드 미,댄스 위드 미
Karyawisata,PRIME - PRIME 2,Arcade,까랴위사따,까랴위사따
Leakage Voltage,PRIME - PRIME 2,Arcade,리키지 볼티지,리키지 볼티지
Beat of The War 2,1st - Zero,Arcade,비트 오브 더 워 2,비트 오브 더 워 2
The People didn't know,NX - NXA,Arcade,사람들은 몰랐다네,사람들은 몰랐다네
Emperor,1st - Zero,Arcade,엠페러,엠페러
Solitary 2,1st - Zero,Arcade,무혼 2,무혼 2
Come to Me,1st - Zero,Arcade,컴 투 미,컴 투 미
Caprice of Otada,NX - NXA,Arcade,카프리스 오브 오타다,카프리스 오브 오타다
XTREE,FIESTA - FIESTA 2,Arcade,엑스트리,엑스트리
Wedding Crashers - SHORT CUT -,XX,Short Cut,웨딩 크래셔 - SHORT CUT -,웨딩 크래셔 - SHORT CUT -
Native,FIESTA - FIESTA 2,Arcade,네이티브,네이티브
Beat of The War,1st - Zero,Arcade,비트 오브 더 워,비트 오브 더 워
Night Duty,FIESTA - FIESTA 2,Arcade,야근,야근
She Likes Pizza,1st - Zero,Arcade,그녀는 피자를 좋아해,그녀는 피자를 좋아해
D,FIESTA - FIESTA 2,Arcade,디,디
Bring Back The Beat,PRIME - PRIME 2,Arcade,브링 백 더 비트,브링 백 더 비트
Final Audition 2,1st - Zero,Arcade,파이널 오디션 2,파이널 오디션 2
Overblow2,PRIME - PRIME 2,Arcade,오버블로우2,오버블로우2
X-Tream,1st - Zero,Arcade,엑스트림,엑스트림
Lala,XX,Arcade,라라,라라
Full Moon - FULL SONG -,XX,Full Song,풀 문 - FULL SONG -,풀 문 - FULL SONG -
Meteorize,PRIME - PRIME 2,Arcade,메테오라이즈,메테오라이즈
Witch Doctor #1,NX - NXA,Arcade,위치 닥터 #1,위치 닥터 #1
Canon D - FULL SONG -,1st - Zero,Full Song,캐논 디 - FULL SONG -,캐논 디 - FULL SONG -
Winter - SHORT CUT -,,Short Cut,윈터 - SHORT CUT -,윈터 - SHORT CUT -
Pine Nut,FIESTA - FIESTA 2,Arcade,잣,잣
Pumptris 8Bit ver.,NX - NXA,Arcade,펌트리스 8비트 ver.,펌트리스 8비트 ver.
Break It Down,PRIME - PRIME 2,Arcade,브레이크 잇 다운,브레이크 잇 다운
WI-EX-DOC-VA,NX - NXA,Remix,위엑닥바,위엑닥바
HUSH,PRIME - PRIME 2,Arcade,허쉬,허쉬
Love is a Danger Zone 2 - FULL SONG -,NX - NXA,Full Song,러브 이즈 어 데인저 존 2 - FULL SONG -,러브 이즈 어 댄저 존 2 - FULL SONG -
My Dreams,NX - NXA,Arcade,마이 드림즈,마이 드림즈
Hello William,FIESTA - FIESTA 2,Arcade,안녕 윌리엄,안녕 윌리엄
Interference,FIESTA - FIESTA 2,Arcade,인터퍼런스,인터퍼런스
Switronic - SHORT CUT -,XX,Short Cut,스위트로닉 - SHORT CUT -,스위트로닉 - SHORT CUT -
X-Rave,FIESTA - FIESTA 2,Arcade,엑스 레이브,엑스 레이브
Top City,1st - Zero,Arcade,탑 시티,탑 시티
XX OPENING - SHORT CUT -,XX,Short Cut,XX 오프닝 - SHORT CUT -,XX 오프닝 - SHORT CUT -
Milky Way Galaxy,PRIME - PRIME 2,Arcade,밀키 웨이 갤럭시,밀키 웨이 갤럭시
Visual Dream II (In Fiction),PRIME - PRIME 2,Arcade,비주얼 드림 2 (인 픽션),비주얼 드림 2 (인 픽션)
Final Audition 3,1st - Zero,Arcade,파이널 오디션 3,파이널 오디션 3
Avalanquiem,PRIME - PRIME 2,Remix,아발란퀴엠,아발란퀴엠
Hi Bi,1st - Zero,Arcade,하이 바이,하이 바이
Naissance,1st - Zero,Arcade,태동,태동
Love is a Danger Zone 2 Try To B.P.M,,Remix,러브 이즈 어 데인저 존 2 Try To B.P.M,러브 이즈 어 댄저 존 2 Try To B.P.M
Toccata,NX - NXA,Arcade,토카타,토카타
Nyarlathotep - SHORT CUT -,XX,Short Cut,니알라토텝 - SHORT CUT -,니알라토텝 - SHORT CUT -
Blaze Emotion,NX - NXA,Arcade,블레이즈 이모션,블레이즈 이모션
BEMERA,NX - NXA,Remix,비메라,비메라
Allegro Più Mosso,PRIME - PRIME 2,Arcade,알레그로 피유 모쏘,알레그로 피유 모쏘
Pumping Jumping,FIESTA - FIESTA 2,Arcade,펌핑 점핑,펌핑 점핑
Yog-Sothoth - SHORT CUT -,PRIME - PRIME 2,Short Cut,요그 소토스 - SHORT CUT -,요그 소토스 - SHORT CUT -
Betrayer,1st - Zero,Arcade,사랑가,사랑가
Passing Rider,PRIME - PRIME 2,Arcade,패싱 라이더,패싱 라이더
Oh! Rosa,1st - Zero,Arcade,오! 로사,오! 로사
Sarabande - SHORT CUT -,PRIME - PRIME 2,Short Cut,사라반드 - SHORT CUT -,사라반드 - SHORT CUT -
Vulcan,PRIME - PRIME 2,Remix,불카누스,불카누스
Rock the house - SHORT CUT -,PRIME - PRIME 2,Short Cut,락 더 하우스 - SHORT CUT -,락 더 하우스 - SHORT CUT -
D Gang,1st - Zero,Arcade,디 갱,디 갱
Xenesis,FIESTA - FIESTA 2,Arcade,제네시스,제네시스
ASDF,FIESTA - FIESTA 2,Arcade,ㅁㄴㅇㄹ,ㅁㄴㅇㄹ
K.O.A : Alice In Wonderworld,NX - NXA,Arcade,케이.오.에이 : 엘리스 인 원더월드,KOA 앨리스 인 원더월드 고아 코아
Chopsticks Challenge,NX - NXA,Arcade,젓가락 변주곡,젓가락 변주곡 젓가락 행진곡
Get Up (and go),FIESTA - FIESTA 2,Arcade,겟 업 (앤 고),겟 업 (앤 고)
Bullfighter's Song,NX - NXA,Arcade,투우사의 노래,투우사의 노래
Hey U,PRIME - PRIME 2,Arcade,헤이 유,헤이 유
B2,PRIME - PRIME 2,Arcade,B2,B2
Bemera - SHORT CUT -,FIESTA - FIESTA 2,Short Cut,비메라 - SHORT CUT -,비메라 - SHORT CUT -
Tek -Club Copenhagen-,FIESTA - FIESTA 2,Arcade,테크 -클럽 코펜하겐-,테크 -클럽 코펜하겐-
Miss S' story,1st - Zero,Arcade,미스 에스 스토리,미세스 스토리
Beat the ghost,NX - NXA,Arcade,비트 더 고스트,비트 더 고스트
Get Your Groove On,1st - Zero,Arcade,겟 유어 그루브 온,겟 유어 그루브 온
Hyperion - SHORT CUT -,PRIME - PRIME 2,Short Cut,히페리온 - SHORT CUT -,히페리온 - SHORT CUT -
PRIME Opening - SHORT CUT -,PRIME - PRIME 2,Short Cut,프라임 오프닝 - SHORT CUT -,프라임 오프닝 - SHORT CUT -
My way,1st - Zero,Arcade,마이웨이,마이웨이
Elysium,PRIME - PRIME 2,Arcade,엘리시움,엘리시움
First Love,1st - Zero,Arcade,첫사랑,첫사랑
I Want U - SHORT CUT -,XX,Short Cut,아이 원트 유 - SHORT CUT -,아이 원트 유 - SHORT CUT -
Shub Sothoth,PRIME - PRIME 2,Remix,슈브 소토스,슈브 소토스
Guitar Man,NX - NXA,Arcade,기타 맨,기타 맨
Witch Doctor - SHORT CUT -,,Short Cut,위치 닥터 - SHORT CUT -,위치 닥터 - SHORT CUT -
Kasou Shinja - SHORT CUT -,PRIME - PRIME 2,Short Cut,가장신자 - SHORT CUT -,가장신자 - SHORT CUT -
Extravaganza - SHORT CUT -,,Short Cut,엑스트라바간자 - SHORT CUT -,엑스트라바간자 - SHORT CUT -
Shub Niggurath - SHORT CUT -,PRIME - PRIME 2,Short Cut,슈브 니구라스 - SHORT CUT -,슈브 니구라스 - SHORT CUT -
Chase Me - FULL SONG -,PRIME - PRIME 2,Full Song,체이스 미 - FULL SONG -,체이스 미 - FULL SONG -
Oy Oy Oy,1st - Zero,Arcade,오이 오이 오이,오이 오이 오이
Cleaner - SHORT CUT -,,Short Cut,클리너 - SHORT CUT -,클리너 - SHORT CUT -
Jump,1st - Zero,Arcade,점프,점프
Love is a Danger Zone pt. 2 - SHORT CUT -,,Short Cut,러브 이즈 어 데인저 존 pt.2 - SHORT CUT -,러브 이즈 어 댄저 존 pt.2 - SHORT CUT -
Set me up,1st - Zero,Arcade,셋 미 업,셋 미 업
Ignis Fatuus(DM Ashura Mix) - SHORT CUT -,,Short Cut,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -
Solitary 1.5,NX - NXA,Arcade,무혼 1.5,무혼 1.5
Repeatorment Remix,XX,Remix,리피토먼트 리믹스,리피토먼트 리믹스
Silhouette Effect - SHORT CUT -,PRIME - PRIME 2,Short Cut,실루엣 이펙트 - SHORT CUT -,실루엣 이펙트 - SHORT CUT -
Everybody Got 2 Know,,Remix,에브리바디 갓 투 노우,에브리바디 갓 투 노우
Mission Possible -Blow Back-,FIESTA - FIESTA 2,Arcade,미션 파서블 -블로우 백-,미션 파서블 블로우 백
Street show down,1st - Zero,Arcade,스트리트 쇼다운,스트리트 쇼다운
J Bong,1st - Zero,Arcade,제이 봉,제이 봉
Pumptris 8Bit ver. - SHORT CUT -,,Short Cut,펌트리스 8비트 ver. - SHORT CUT -,펌트리스 8비트 ver. - SHORT CUT -
Arch of Darkness,NX - NXA,Arcade,아크 오브 다크니스,아크 오브 다크니스
Beethoven Influenza,PRIME - PRIME 2,Remix,베토벤 인플루엔자,베토벤 인플루엔자
With My Lover,1st - Zero,Arcade,님과 함께,님과 함께
Money,NX - NXA,Arcade,머니,머니
Dignity - FULL SONG -,,Full Song,디그니티 - FULL SONG -,디그니티 - FULL SONG -
Free Style,1st - Zero,Arcade,프리 스타일,프리 스타일
2006. LOVE SONG,NX - NXA,Arcade,사랑가 2006,사랑가 2006
What Are You Doin?,FIESTA - FIESTA 2,Remix,와라유도인?,와라유도인?
Point Break,1st - Zero,Arcade,포인트 브레이크,포인트 브레이크
Banya-P Guitar Remix,NX - NXA,Remix,반야-P 기타 리믹스,반야 P기타 리믹스
Love is a Danger Zone - SHORT CUT -,,Short Cut,러브 이즈 어 데인저 존 - SHORT CUT -,러브 이즈 어 댄저 존 - SHORT CUT -
Final Audition Ep. 2-X - SHORT CUT -,,Short Cut,파이널 오디션 에피소드 2-X - SHORT CUT -,파이널 오디션 에피소드 2-X - SHORT CUT -
Destination - SHORT CUT -,,Short Cut,데스티네이션 - SHORT CUT -,데스티네이션 - SHORT CUT -
Tream Vook of the war,,Remix,트림 북 오브 더 워,트림 북 오브 더 워
Pumping Up,1st - Zero,Arcade,펌핑업,펌핑 업
CHICKEN WING - SHORT CUT -,,Short Cut,치킨 윙 - SHORT CUT -,치킨 윙 - SHORT CUT -
Super Fantasy - SHORT CUT -,,Short Cut,슈퍼 판타지 - SHORT CUT -,슈퍼 판타지 - SHORT CUT -
PRIME2 OPENING - SHORT CUT -,,Short Cut,프라임2 오프닝 - SHORT CUT -,프라임2 오프닝 - SHORT CUT -
Blaze Emotion (band version),PRIME - PRIME 2,Arcade,블레이즈 이모션 (Band version),블레이즈 이모션 (Band version)
Monkey Fingers 2,NX - NXA,Arcade,몽키 핑거즈 2,몽키 핑거즈 2
Love is a Danger Zone pt.2 [Another],1st - Zero,Arcade,러브 이즈 어 데인저 존 pt.2 어나더,러브 이즈 어 댄저 존 pt.2 어나더
Do U Know That-Old School,NX - NXA,Arcade,두 유 노우 댓-올드 스쿨,두 유 노우 댓-올드 스쿨
EXTRA BanYa Remix,,Remix,엑스트라 반야 리믹스,엑스트라 반야 리믹스
All I Want For X-mas,1st - Zero,Arcade,올 아이 원트 포 크리스마스,올 아이 원트 포 크리스마스
An Interesting View,1st - Zero,Arcade,서울구경,서울구경
Mission Possible,1st - Zero,Arcade,미션 파서블,미션 파서블
Caprice of DJ Otada,FIESTA - FIESTA 2,Remix,카프리스 오브 디제이 오타다,카프리스 오브 디제이 오타다
Hello,1st - Zero,Arcade,헬로우,헬로우
Pump Jump,1st - Zero,Arcade,펌프 점프,펌프 점프
Moonlight - SHORT CUT -,FIESTA - FIESTA 2,Short Cut,월광 - SHORT CUT -,월광 - SHORT CUT -
Interference - FULL SONG -,FIESTA - FIESTA 2,Full Song,인터퍼런스 - FULL SONG -,인터퍼런스 - FULL SONG -
Naissance 2,1st - Zero,Arcade,태동 2,태동2
Move That Body! - FULL SONG -,PRIME - PRIME 2,Full Song,무브 댓 바디! - FULL SONG -,무브 댓 바디! - FULL SONG -
Beat of The War 2 - FULL SONG -,FIESTA - FIESTA 2,Full Song,비트 오브 더 워 2 - FULL SONG -,비트 오브 더 워 2 - FULL SONG -
Jam O Beat,NX - NXA,Arcade,잼 오 비트,잼 오 비트
Money Fingers,,Remix,머니 핑거즈,머니 핑거즈
Dr.KOA,FIESTA - FIESTA 2,Remix,닥터 케이오에이,닥터 케이오에이
HUSH - FULL SONG -,,Full Song,허쉬 - FULL SONG -,허쉬 - FULL SONG -
A Nightmare,1st - Zero,Arcade,악몽,악몽
PaPa helloizing,,Remix,파파 헬로이징,파파 헬로이징
N,1st - Zero,Arcade,엔,엔
Banya-P Classic Remix,,Remix,반야-P 클래식 리믹스,반야 P 클래식 리믹스
Betrayer -act.2-,FIESTA - FIESTA 2,Arcade,사랑가 -2막-,사랑가 -2막-
Trotpris - SHORT CUT -,,Short Cut,트롯프리스 - SHORT CUT -,트롯프리스 - SHORT CUT -
Passacaglia - SHORT CUT -,,Short Cut,파사칼리아 - SHORT CUT -,파사칼리아 - SHORT CUT -
Move That Body! - SHORT CUT -,,Short Cut,무브 댓 바디! - SHORT CUT -,무브 댓 바디! - SHORT CUT -
FFF - SHORT CUT -,,Short Cut,에프 에프 에프 - SHORT CUT -,에프 에프 에프 - SHORT CUT -
Stardust Overdrive - SHORT CUT -,PRIME - PRIME 2,Short Cut,스타더스트 오버드라이브 - SHORT CUT -,스타더스트 오버드라이브 - SHORT CUT -
Midnight Blue,1st - Zero,Arcade,미드나잇 블루,미드나잇 블루
Infinity RMX,,Remix,인피니티 리믹스,인피니티 리믹스
BANYA HIPHOP REMIX,,Remix,반야 힙합 리믹스,반야 힙합 리믹스
"The People didn't know ""Pumping up""",,Remix,사람들은 펌핑업을 몰랐다네,사람들은 펌핑업을 몰랐다네
Banya Classic Remix,,Remix,반야 클래식 리믹스,반야 클래식 리믹스
NX Opening - SHORT CUT -,,Short Cut,NX 오프닝 - SHORT CUT -,NX 오프닝 - SHORT CUT -
Solitary 2 - SHORT CUT -,,Short Cut,무혼 2 - SHORT CUT -,무혼 2 - SHORT CUT -
Selfishness - SHORT CUT -,,Short Cut,셀피쉬니스 - SHORT CUT -,셀피쉬니스 - SHORT CUT -
B.P Classic Remix,,Remix,반야 프로덕션 클래식 리믹스,반야 프로덕션 클래식 리믹스
Do It Reggae Style,FIESTA - FIESTA 2,Arcade,두 잇 레게 스타일,두 잇 레게 스타일
X-Rave - SHORT CUT -,,Short Cut,엑스 레이브 - SHORT CUT -,엑스 레이브 - SHORT CUT -
U Got Me Rocking - SHORT CUT -,,Short Cut,유 갓 미 락킹 - SHORT CUT -,유 갓 미 락킹 - SHORT CUT -
Overblow - SHORT CUT -,,Short Cut,오버블로우 - SHORT CUT -,오버블로우 - SHORT CUT -
We will meet again,1st - Zero,Arcade,위 윌 밋 어게인,위 윌 밋 어게인
Exceed2 Opening - SHORT CUT -,,Short Cut,익시드2 오프닝 - SHORT CUT -,익시드2 오프닝 - SHORT CUT -
msgoon RMX pt.6,,Remix,엠.에스.군 리믹스 파트.6,엠에스군 리믹스 파트.6
Turkey Virus,,Remix,터키 바이러스,터키 바이러스
Chopsticks Challenge - FULL SONG -,,Full Song,젓가락 변주곡 - FULL SONG -,젓가락 변주곡 - FULL SONG -
K.O.A : Alice In Wonderworld - SHORT CUT -,,Short Cut,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -
Final Audition 2 - SHORT CUT -,,Short Cut,파이널 오디션 2 - SHORT CUT -,파이널 오디션 2 - SHORT CUT -
B.P Classic Remix 2,,Remix,반야 프로덕션 클래식 리믹스 2,반야 프로덕션 클래식 리믹스 2
Take Out - SHORT CUT -,,Short Cut,테이크 아웃 - SHORT CUT -,테이크 아웃 - SHORT CUT -
Pop The Track - SHORT CUT -,,Short Cut,팝 더 트랙 - SHORT CUT -,팝 더 트랙 - SHORT CUT -
Close Your Eye,1st - Zero,Arcade,눈을 감아,눈을 감아
Ugly duck Toccata,,Remix,미운 오리 토카타,미운 오리 토카타
Set Up Me2 Mix,,Remix,셋업 미투 믹스,셋업 미투 믹스
Unique - SHORT CUT -,,Short Cut,유니크 - SHORT CUT -,유니크 - SHORT CUT -
Final Audition 3 - SHORT CUT -,,Short Cut,파이널 오디션 3 - SHORT CUT -,파이널 오디션 3 - SHORT CUT -
PRiMA MATERiA,PHOENIX,Arcade,프ㄹi마 마테ㄹi아,프리마 마테리아
Solfeggietto,PHOENIX,Arcade,솔페지에토,솔페지에토
Destr0yer,PHOENIX,Arcade,디스트로0ㅣ어,디스트로이어
Lucid Dream,PHOENIX,Arcade,루시드 드림,루시드 드림
Le Nozze di Figaro ~Celebrazione Remix~,PHOENIX,Arcade,피가로의 결혼 ~Celebrazione Remix~,피가로의 결혼 ~Celebrazione Remix~
