song,version,song_type,kr_song,kr_song_proxy
Elise,FIESTA - FIESTA 2,Arcade,엘리제,엘리제
Kokugen Kairou Labyrinth,XX,Arcade,시간의 회랑 라비린스,시간의 회랑 라비린스
A Site De La Rue,PRIME - PRIME 2,Arcade,어 사이트 데 라 루,데라루
Re：End of a Dream,XX,Arcade,Re：엔드 오브 어 드림,리 엔드
BSPower Explosion,PRIME - PRIME 2,Arcade,BS파워 익스플로전,병신력 폭발
Phalanx "RS2018 edit",XX,Arcade,팔랑크스 "RS2018 edit",팔랑크스 RS2018 edit
Stardream (feat. Romelon),XX,Arcade,스타드림 (feat. Romelon),스타드림 (feat. Romelon)
Paved Garden,XX,Arcade,페이브 가든,페이브 가든
VANISH,XX,Arcade,배니쉬,베니쉬
Canon D,1st - Zero,Arcade,캐논 디,캐논디
Last Rebirth,PRIME - PRIME 2,Arcade,라스트 리버스,라스트 리버스
CROSS RAY (feat. 月下Lia),XX,Arcade,크로스 레이 (feat. 月下Lia),크로스 레이 (feat. 月下Lia)
Achluoias,PRIME - PRIME 2,Arcade,아클루오이아스,아클루오이아스
Indestructible,XX,Arcade,인디스트럭터블,럭키볼
Keep On!,PRIME - PRIME 2,Arcade,킵 온!,킵 온!
Crossing Delta,XX,Arcade,크로싱 델타,크로싱 델타
Imprinting,PRIME - PRIME 2,Arcade,임프린팅,임프린팅
Nyarlathotep,XX,Arcade,니알라토텝,니알라토텝
HEART RABBIT COASTER,XX,Arcade,하트 래빗 코스터,하래코
Shub Niggurath,PRIME - PRIME 2,Arcade,슈브 니구라스,슈브 니구라스
Can-can ~Orpheus in The Party Mix~,XX,Arcade,캉-캉 ~Orpheus in The Party Mix~,캉캉 오르페우스
CROSS SOUL,XX,Arcade,크로스 소울,크로스 소울
Forgotten Vampire,XX,Arcade,포가튼 뱀파이어,포가튼 뱀파이어
Rock the house,PRIME - PRIME 2,Arcade,락 더 하우스,락 더 하우스
The Reverie,XX,Arcade,더 레버리,더 레버리
DESTRUCIMATE,XX,Arcade,파괴,파괴
CO5M1C R4ILR0AD,PHOENIX,Arcade,코스믹 레일로드,코스믹 레일로드
Repentance,XX,Arcade,리펜턴스,리펜턴스
Le Grand Bleu,PRIME - PRIME 2,Arcade,라 그랑 블루,라 그랑 블루
Winter,1st - Zero,Arcade,윈터,윈터
Loki,XX,Arcade,로키,로키
Gargoyle - FULL SONG -,XX,Full Song,가고일 - FULL SONG -,풀고일
Club Night,XX,Arcade,클럽 나이트,클럽 나이트
Csikos Post,1st - Zero,Arcade,우편마차,우편마차
Sugar Plum,XX,Arcade,슈가 플럼,슈가 플럼
Another Truth,1st - Zero,Arcade,또다른 진심,또다른 진심
Cleaner,FIESTA - FIESTA 2,Arcade,클리너,클리너
The Quick Brown Fox Jumps Over The Lazy Dog,PRIME - PRIME 2,Arcade,다람쥐 헌 쳇바퀴에 타고파,다람쥐 헌 쳇바퀴에 타고파
Skeptic,XX,Arcade,스켑틱,스켑틱
Mr. Larpus,1st - Zero,Arcade,미스터 라푸스,미스터 라푸스
Passacaglia,FIESTA - FIESTA 2,Arcade,파사칼리아,파사칼리아
Ignis Fatuus(DM Ashura Mix),FIESTA - FIESTA 2,Arcade,이그니스 패터스(DM Ashura 믹스),이그니스 패터스(DM Ashura 믹스)
Avalanche,PRIME - PRIME 2,Arcade,아발란치,아발란치
Hellfire,PRIME - PRIME 2,Arcade,헬파이어,헬파이어
Telling Fortune Flower,XX,Arcade,텔링 포츈 플라워,텔링 포츈 플라워
Timing,XX,Arcade,타이밍,타이밍
Cygnus,XX,Arcade,시그너스,시그너스
Yog-Sothoth,PRIME - PRIME 2,Arcade,요그 소토스,요그 소토스
Twist of Fate (feat. Ruriling),PRIME - PRIME 2,Arcade,트위스트 오브 페이트 (feat. Ruriling),트위스트 오브 페이트 (feat. Ruriling)
Further,PRIME - PRIME 2,Arcade,퍼더,퍼더
The Devil,FIESTA - FIESTA 2,Arcade,마왕,마왕
Slam,1st - Zero,Arcade,슬램,슬램
8 6 - FULL SONG -,XX,Full Song,8 6 - FULL SONG -,86 풀
Just Hold On (To All Fighters),PRIME - PRIME 2,Arcade,저스트 홀드 온 (To All Fighters),젓솔돈
1950,PRIME - PRIME 2,Arcade,1950,1950
Take Out,FIESTA - FIESTA 2,Arcade,테이크 아웃,테이크 아웃
Windmill,FIESTA - FIESTA 2,Arcade,윈드밀,윈드밀
Like Me,PRIME - PRIME 2,Arcade,라이크 미,라이크 미
Turkey March,1st - Zero,Arcade,터키 행진곡,터키 행진곡
After a thousand years,XX,Arcade,천년이 지나서,천년이 지나서
Super Capriccio,PRIME - PRIME 2,Arcade,슈퍼 카프리시오,슈퍼 카프리시오
Tales of Pumpnia,XX,Arcade,테일즈 오브 펌프니아,테일즈 오브 펌프니아
Scorpion King,PRIME - PRIME 2,Arcade,스콜피온 킹,스콜피온 킹
Clematis Rapsodia,XX,Arcade,클레마티스 랩소디아,클레마티스 랩소디아
Obelisque,XX,Arcade,오벨리스크,오벨리스크
Vacuum,FIESTA - FIESTA 2,Arcade,진공,진공
Harmagedon,XX,Arcade,아마겟돈,아마겟돈
Hardkore of the North,FIESTA - FIESTA 2,Arcade,하드코어 오브 더 노스,하드코어 오브 더 노스
Travel to future,PRIME - PRIME 2,Arcade,트래블 투 퓨처,트레벨 투 퓨처
POINT ZERO 2,XX,Arcade,포인트 제로 2,포인트 제로 2
Uranium,XX,Arcade,우라늄,우라늄
Till the end of time,1st - Zero,Arcade,틸 디 엔드 오브 타임,틸 디 엔드 오브 타임
Annihilator Method,PRIME - PRIME 2,Arcade,어나이얼레이터 메소드,어나이얼레이터 메소드
Iolite Sky,XX,Arcade,아이올라이트 스카이,아이올라이트 스카이
Love Is A Danger Zone(Cranky Mix),FIESTA - FIESTA 2,Arcade,러브 이즈 어 데인저 존(Cranky 믹스),러브 이즈 어 댄저 존(Cranky 믹스)
Life is PIANO,XX,Arcade,라이프 이즈 피아노,라이프 이즈 피아노
Rising Star,XX,Arcade,라이징 스타,라이징 스타
Allegro Con Fuoco,FIESTA - FIESTA 2,Arcade,알레그로 콘 뿌오코,알레그로 콘 뿌오코
Headless Chicken,XX,Arcade,헤드리스 치킨,헤드리스 치킨
Euphorianic - SHORT CUT -,PHOENIX,Short Cut,유포리아닉 - SHORT CUT -,유포리아닉 - SHORT CUT -
Houseplan,XX,Arcade,하우스플랜,하우스플랜
Smile Diary,PRIME - PRIME 2,Arcade,스마일 다이어리,스마일 다이어리
1949,XX,Arcade,1949,1949
Extravaganza,1st - Zero,Arcade,엑스트라바간자,해파리
INFINITY,PRIME - PRIME 2,Arcade,인피니티,인피니티
I Want U,XX,Arcade,아이 원트 유,아이 원트 유
Desaparecer,XX,Remix,데사파레세르,데사파레세르
Kasou Shinja仮装信者,PRIME - PRIME 2,Arcade,가장신자,가장신자
Xeroize,XX,Arcade,제로아이즈,제로아이즈
Death Moon,PRIME - PRIME 2,Arcade,사월,사월
Sudden Romance [PIU Edit],PRIME - PRIME 2,Arcade,서든 로맨스 [PIU Edit],서든 로맨스 [PIU Edit]
Pop Sequence,XX,Arcade,팝 시퀀스,팝 시퀀스
Queen Of The Red,PRIME - PRIME 2,Arcade,퀸 오브 더 레드,퀸 오브 더 레드
Ice of Death,XX,Arcade,아이스 오브 데스,아이스 오브 데스
Kimchi Fingers,XX,Arcade,김치 핑거즈,김치 핑거즈
Arcana Force,PRIME - PRIME 2,Arcade,아르카나 포스,아르카나 포스
Nemesis,PRIME - PRIME 2,Arcade,네메시스,네메시스
