song,composer,kr_song,kr_song_proxy
Yog-Sothoth - SHORT CUT -,Nato,요그 소토스 - SHORT CUT -,요그 소토스 - SHORT CUT -
Betrayer,BanYa,사랑가,사랑가
Passing Rider,mzet:-P,패싱 라이더,패싱 라이더
Oh! Rosa,BanYa,오! 로사,오! 로사
Sarabande - SHORT CUT -,MAX,사라반드 - SHORT CUT -,사라반드 - SHORT CUT -
Vulcan,Memme,불카누스,불카누스
Rock the house - SHORT CUT -,Matduke,락 더 하우스 - SHORT CUT -,락 더 하우스 - SHORT CUT -
D Gang,BanYa,디 갱,디 갱
Xenesis,Banya Production,제네시스,제네시스
ASDF,Doin,ㅁㄴㅇㄹ,ㅁㄴㅇㄹ
K.O.A : Alice In Wonderworld,Banya Production,케이.오.에이 : 엘리스 인 원더월드,KOA 앨리스 인 원더월드 고아 코아
Chopsticks Challenge,YAHPP,젓가락 변주곡,젓가락 변주곡 젓가락 행진곡
Get Up (and go),Banya Production,겟 업 (앤 고),겟 업 (앤 고)
Bullfighter's Song,Banya Production,투우사의 노래,투우사의 노래
Hey U,MAZO,헤이 유,헤이 유
B2,MAX,B2,B2
Bemera - SHORT CUT -,YAHPP,비메라 - SHORT CUT -,비메라 - SHORT CUT -
Tek -Club Copenhagen-,Banya Production,테크 -클럽 코펜하겐-,테크 -클럽 코펜하겐-
Miss S' story,BanYa,미스 에스 스토리,미세스 스토리
Beat the ghost,Banya Production,비트 더 고스트,비트 더 고스트
Get Your Groove On,BanYa,겟 유어 그루브 온,겟 유어 그루브 온
Hyperion - SHORT CUT -,M2U,히페리온 - SHORT CUT -,히페리온 - SHORT CUT -
PRIME Opening - SHORT CUT -,MAX,프라임 오프닝 - SHORT CUT -,프라임 오프닝 - SHORT CUT -
My way,BanYa,마이웨이,마이웨이
Elysium,Warak,엘리시움,엘리시움
First Love,BanYa,첫사랑,첫사랑
I Want U - SHORT CUT -,MAX,아이 원트 유 - SHORT CUT -,아이 원트 유 - SHORT CUT -
Shub Sothoth,Nato & EXC,슈브 소토스,슈브 소토스
Guitar Man,Banya Production,기타 맨,기타 맨
Witch Doctor - SHORT CUT -,Banya,위치 닥터 - SHORT CUT -,위치 닥터 - SHORT CUT -
Kasou Shinja - SHORT CUT -,MAX,가장신자 - SHORT CUT -,가장신자 - SHORT CUT -
Extravaganza - SHORT CUT -,Banya,엑스트라바간자 - SHORT CUT -,엑스트라바간자 - SHORT CUT -
Shub Niggurath - SHORT CUT -,Nato,슈브 니구라스 - SHORT CUT -,슈브 니구라스 - SHORT CUT -
Chase Me - FULL SONG -,Dreamcatcher,체이스 미 - FULL SONG -,체이스 미 - FULL SONG -
Oy Oy Oy,BanYa,오이 오이 오이,오이 오이 오이
Cleaner - SHORT CUT -,Doin,클리너 - SHORT CUT -,클리너 - SHORT CUT -
Jump,BanYa,점프,점프
Love is a Danger Zone pt. 2 - SHORT CUT -,Banya,러브 이즈 어 데인저 존 pt.2 - SHORT CUT -,러브 이즈 어 댄저 존 pt.2 - SHORT CUT -
Set me up,BanYa,셋 미 업,셋 미 업
Ignis Fatuus(DM Ashura Mix) - SHORT CUT -,BanYa & DM Ashura,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -
Solitary 1.5,YAHPP,무혼 1.5,무혼 1.5
Repeatorment Remix,BanYa,리피토먼트 리믹스,리피토먼트 리믹스
Silhouette Effect - SHORT CUT -,Nato,실루엣 이펙트 - SHORT CUT -,실루엣 이펙트 - SHORT CUT -
Everybody Got 2 Know,MAX,에브리바디 갓 투 노우,에브리바디 갓 투 노우
Mission Possible -Blow Back-,Banya Production,미션 파서블 -블로우 백-,미션 파서블 블로우 백
Street show down,BanYa,스트리트 쇼다운,스트리트 쇼다운
J Bong,BanYa,제이 봉,제이 봉
Pumptris 8Bit ver. - SHORT CUT -,YAHPP,펌트리스 8비트 ver. - SHORT CUT -,펌트리스 8비트 ver. - SHORT CUT -
Arch of Darkness,Yahpp,아크 오브 다크니스,아크 오브 다크니스
Beethoven Influenza,Banya & Warak,베토벤 인플루엔자,베토벤 인플루엔자
With My Lover,BanYa,님과 함께,님과 함께
Money,Banya Production,머니,머니
Dignity - FULL SONG -,Crash,디그니티 - FULL SONG -,디그니티 - FULL SONG -
Free Style,BanYa,프리 스타일,프리 스타일
2006. LOVE SONG, Banya Production,사랑가 2006,사랑가 2006
What Are You Doin?,Doin & MAX,와라유도인?,와라유도인?
Point Break,BanYa,포인트 브레이크,포인트 브레이크
Banya-P Guitar Remix,Banya Production,반야-P 기타 리믹스,반야 P기타 리믹스
Love is a Danger Zone - SHORT CUT -,Banya,러브 이즈 어 데인저 존 - SHORT CUT -,러브 이즈 어 댄저 존 - SHORT CUT -
Final Audition Ep. 2-X - SHORT CUT -,YAHPP,파이널 오디션 에피소드 2-X - SHORT CUT -,파이널 오디션 에피소드 2-X - SHORT CUT -
Destination - SHORT CUT -,SHK,데스티네이션 - SHORT CUT -,데스티네이션 - SHORT CUT -
Tream Vook of the war,BanYa,트림 북 오브 더 워,트림 북 오브 더 워
Pumping Up,BanYa,펌핑업,펌핑 업
CHICKEN WING - SHORT CUT -,Banya,치킨 윙 - SHORT CUT -,치킨 윙 - SHORT CUT -
Super Fantasy - SHORT CUT -,SHK,슈퍼 판타지 - SHORT CUT -,슈퍼 판타지 - SHORT CUT -
PRIME2 OPENING - SHORT CUT -,MAX,프라임2 오프닝 - SHORT CUT -,프라임2 오프닝 - SHORT CUT -
Blaze Emotion (band version),Yahpp,블레이즈 이모션 (Band version),블레이즈 이모션 (Band version)
Monkey Fingers 2,Banya Production,몽키 핑거즈 2,몽키 핑거즈 2
Love is a Danger Zone pt.2 [Another],BanYa,러브 이즈 어 데인저 존 pt.2 어나더,러브 이즈 어 댄저 존 pt.2 어나더
Do U Know That-Old School,Banya Production,두 유 노우 댓-올드 스쿨,두 유 노우 댓-올드 스쿨
EXTRA BanYa Remix,Banya,엑스트라 반야 리믹스,엑스트라 반야 리믹스
All I Want For X-mas,BanYa,올 아이 원트 포 크리스마스,올 아이 원트 포 크리스마스
An Interesting View,BanYa,서울구경,서울구경
Mission Possible,BanYa,미션 파서블,미션 파서블
Caprice of DJ Otada,Banya Production,카프리스 오브 디제이 오타다,카프리스 오브 디제이 오타다
Hello,BanYa,헬로우,헬로우
Pump Jump,BanYa,펌프 점프,펌프 점프
Moonlight - SHORT CUT -,Banya,월광 - SHORT CUT -,월광 - SHORT CUT -
Interference - FULL SONG -,Doin,인터퍼런스 - FULL SONG -,인터퍼런스 - FULL SONG -
Naissance 2,BanYa,태동 2,태동2
Move That Body! - FULL SONG -,DM Ashura feat. Skizzo & Hanna,무브 댓 바디! - FULL SONG -,무브 댓 바디! - FULL SONG -
Beat of The War 2 - FULL SONG -,YAHPP,비트 오브 더 워 2 - FULL SONG -,비트 오브 더 워 2 - FULL SONG -
Jam O Beat,Banya Production,잼 오 비트,잼 오 비트
Money Fingers,Banya Production,머니 핑거즈,머니 핑거즈
Dr.KOA,Banya Production,닥터 케이오에이,닥터 케이오에이
HUSH - FULL SONG -,Yassi Pressman & Nadine Lustre,허쉬 - FULL SONG -,허쉬 - FULL SONG -
A Nightmare,BanYa,악몽,악몽
PaPa helloizing,Banya Production,파파 헬로이징,파파 헬로이징
N,BanYa,엔,엔
Banya-P Classic Remix,Banya Production,반야-P 클래식 리믹스,반야 P 클래식 리믹스
Betrayer -act.2-,msgoon,사랑가 -2막-,사랑가 -2막-
Trotpris - SHORT CUT -,Doin,트롯프리스 - SHORT CUT -,트롯프리스 - SHORT CUT -
Passacaglia - SHORT CUT -,SynthWulf,파사칼리아 - SHORT CUT -,파사칼리아 - SHORT CUT -
Move That Body! - SHORT CUT -,DM Ashura feat. Skizzo & Hanna,무브 댓 바디! - SHORT CUT -,무브 댓 바디! - SHORT CUT -
FFF - SHORT CUT -,Doin,에프 에프 에프 - SHORT CUT -,에프 에프 에프 - SHORT CUT -
Stardust Overdrive - SHORT CUT -,typeMARS,스타더스트 오버드라이브 - SHORT CUT -,스타더스트 오버드라이브 - SHORT CUT -
Midnight Blue,BanYa,미드나잇 블루,미드나잇 블루
Infinity RMX,SynthWulf & MAX,인피니티 리믹스,인피니티 리믹스
BANYA HIPHOP REMIX,BanYa,반야 힙합 리믹스,반야 힙합 리믹스
"The People didn't know ""Pumping up""",Banya Production,사람들은 펌핑업을 몰랐다네,사람들은 펌핑업을 몰랐다네
Banya Classic Remix,BanYa,반야 클래식 리믹스,반야 클래식 리믹스
NX Opening - SHORT CUT -,YAHPP,NX 오프닝 - SHORT CUT -,NX 오프닝 - SHORT CUT -
Solitary 2 - SHORT CUT -,Banya,무혼 2 - SHORT CUT -,무혼 2 - SHORT CUT -
Selfishness - SHORT CUT -,SID-SOUND,셀피쉬니스 - SHORT CUT -,셀피쉬니스 - SHORT CUT -
B.P Classic Remix,Banya Production,반야 프로덕션 클래식 리믹스,반야 프로덕션 클래식 리믹스
Do It Reggae Style,Banya Production,두 잇 레게 스타일,두 잇 레게 스타일
X-Rave - SHORT CUT -,DM Ashura,엑스 레이브 - SHORT CUT -,엑스 레이브 - SHORT CUT -
U Got Me Rocking - SHORT CUT -,MAX,유 갓 미 락킹 - SHORT CUT -,유 갓 미 락킹 - SHORT CUT -
Overblow - SHORT CUT -,MAX,오버블로우 - SHORT CUT -,오버블로우 - SHORT CUT -
We will meet again,BanYa,위 윌 밋 어게인,위 윌 밋 어게인
Exceed2 Opening - SHORT CUT -,Banya,익시드2 오프닝 - SHORT CUT -,익시드2 오프닝 - SHORT CUT -
msgoon RMX pt.6,msgoon,엠.에스.군 리믹스 파트.6,엠에스군 리믹스 파트.6
Turkey Virus,Banya Production,터키 바이러스,터키 바이러스
Chopsticks Challenge - FULL SONG -,YAHPP,젓가락 변주곡 - FULL SONG -,젓가락 변주곡 - FULL SONG -
K.O.A : Alice In Wonderworld - SHORT CUT -,Banya Production,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -
Final Audition 2 - SHORT CUT -,Banya,파이널 오디션 2 - SHORT CUT -,파이널 오디션 2 - SHORT CUT -
B.P Classic Remix 2,Banya Production,반야 프로덕션 클래식 리믹스 2,반야 프로덕션 클래식 리믹스 2
Take Out - SHORT CUT -,SHK,테이크 아웃 - SHORT CUT -,테이크 아웃 - SHORT CUT -
Pop The Track - SHORT CUT -,J-Mi & Midi-D & Ft. Hanna Stockzell,팝 더 트랙 - SHORT CUT -,팝 더 트랙 - SHORT CUT -
Close Your Eye,BanYa,눈을 감아,눈을 감아
Ugly duck Toccata,Banya Production,미운 오리 토카타,미운 오리 토카타
Set Up Me2 Mix ,Banya Production,셋업 미투 믹스,셋업 미투 믹스
Unique - SHORT CUT -,SHK,유니크 - SHORT CUT -,유니크 - SHORT CUT -
Final Audition 3 - SHORT CUT -,Banya,파이널 오디션 3 - SHORT CUT -,파이널 오디션 3 - SHORT CUT -
PRiMA MATERiA,xi,프ㄹi마 마테ㄹi아,프리마 마테리아
Solfeggietto,Fiverwater,솔페지에토,솔페지에토
Destr0yer,Sakuzyo,디스트로0ㅣ어,디스트로이어
Lucid Dream,Cosmograph,루시드 드림,루시드 드림
Le Nozze di Figaro ~Celebrazione Remix~,Sr. Lan Belmont,피가로의 결혼 ~Celebrazione Remix~,피가로의 결혼 ~Celebrazione Remix~
