index,song,kr_song,kr_song_proxy,composer,kr_composer,bpm,main_bpm,version,song_type
CS676,BATTLE NO.1,배틀 넘버원,배틀 넘버원,TANO*C Sound Team,N/A,200,200,PHOENIX,Arcade
CS822,Spray,스프레이,스프레이,WEi,위아이,92,92,PHOENIX,Arcade
CS805,Jogging,조깅,조깅,LUCY,루시,138,138,XX,Arcade
CS347,Ghroth,그로스,그로스,nato,나토,212,212,PHOENIX,Arcade
CS806,Full Moon,풀 문,풀 문,Dreamcatcher,드림캐쳐,190,190,XX,Arcade
CS343,Jupin,쥬핀,주핀,Sobrem,Sobrem,173,173,PHOENIX,Arcade
CS186,Super Fantasy,슈퍼 판타지,슈퍼 판타지,SHK,SHK,145,145,PRIME - PRIME 2,Arcade
CS352,Lacrimosa,라크리모사,라크리모사,Fiverwater,Fiverwater,210,210,PHOENIX,Arcade
CS813,Alone,얼론,얼론,Highlight,하이라이트,115,115,PHOENIX,Arcade
CS664,Ultimatum,얼티메이텀,얼티메이텀,Cosmograph,코스모그래프,202,202,XX,Arcade
CS677,Galaxy Collapse,갤럭시 컬랩스,갤럭시 콜랩스,Kurokotei,Kurokotei,150~320,150~320,PHOENIX,Arcade
CS816,Beautiful Liar,뷰티플라이어,뷰티플라이어,MONSTA X,몬스타엑스,130,130,PHOENIX,Arcade
CS349,CHAOS AGAIN,카오스 어게인,카오스 어게인,NAOKI underground -Ω-,NAOKI underground -Ω-,150~260,150~260,PHOENIX,Arcade
CS187,Violet Perfume,바이올렛 퍼퓸,바이올렛 퍼퓸,SHK,SHK,140,140,PRIME - PRIME 2,Arcade
CS808,Fly high,날아올라,날아올라,Dreamcatcher,드림캐쳐,154,154,XX,Arcade
CS673,Halcyon,할시온,할시온,xi,xi,40~191,40~191,PHOENIX,Arcade
CS192,Sugar Conspiracy Theory,설탕음모론,설탕음모론,MAX,MAX,170,170,PRIME - PRIME 2,Arcade
CS296,Papasito (feat. KuTiNA),파파시토 (feat. KuTiNA),파파시토 (feat. KuTiNA),Yakikaze & Cashew,Yakikaze & Cashew,128,128,XX,Arcade
